symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
NVDA,NVIDIA Corporation,NASDAQ,5085821016896.0,209.25,Jen-Hsun Huang,4532773880000.0
GOOGL,Alphabet Inc.,NASDAQ,4233379446628.0,349.94,Sundar Pichai,3820891000000.0
GOOG,Alphabet Inc.,NASDAQ,4201409150923.001,347.31,Sundar Pichai,3820891000000.0
AAPL,Apple Inc.,NASDAQ,3966403593800.0,270.17,Timothy D. Cook,3895186810000.0
MSFT,Microsoft Corporation,NASDAQ,3151882909800.0,424.46,Satya Nadella,3779190530000.0
AMZN,"Amazon.com, Inc.",NASDAQ,2828798393209.0,263.04,Andrew R. Jassy,2525794920000.0
AVGO,Broadcom Inc.,NASDAQ,1919671951500.0,405.45,Hock E. Tan,1757293600000.0
META,"Meta Platforms, Inc.",NASDAQ,1692600817842.0,669.12,Mark Elliot Zuckerberg,1712110890000.0
TSLA,"Tesla, Inc.",NASDAQ,1400132416000.0,372.8,Elon R. Musk,1442210000000.0
USB-PA,U.S. Bancorp PERP PFD SER A,NYSE,1313384452470.0,782.27,Andrew J. Cecere,
BRK-B,Berkshire Hathaway Inc.,NYSE,1025613730161.0,475.51,Gregory Edward Abel,1171461437750.0
BRK-A,Berkshire Hathaway Inc.,NYSE,1025575936924.0,713083.0,Gregory Edward Abel,
WMT,Walmart Inc.,NASDAQ,1020546924000.0,128.01,John R. Furner,1007462620000.0
JPM,JPMorgan Chase & Co.,NYSE,834056527500.0,309.25,James Dimon,1497614914000.0
LLY,Eli Lilly and Company,NYSE,804239380990.0,851.21,David A. Ricks,1000404789360.0
JPM-PC,JPMorgan Chase & Co.,NYSE,798570287647.0,25.3,James Dimon,
JPM-PD,JPMorgan Chase & Co.,NYSE,795023465894.0,24.7,James Dimon,1497614914000.0
V,Visa Inc.,NYSE,645921837674.0,334.86,Ryan McInerney,667976960000.0
XOM,Exxon Mobil Corporation,NYSE,642895135200.0,154.67,Darren W. Woods,554048540000.0
MU,"Micron Technology, Inc.",NASDAQ,584682895800.0,518.46,Sanjay Mehrotra,141788000000.0
AMD,"Advanced Micro Devices, Inc.",NASDAQ,549627790182.0,337.11,Lisa T. Su,348076760000.0
JNJ,Johnson & Johnson,NYSE,547281467000.0,227.35,Joaquin Duato,532304216000.0
INTC,Intel Corporation,NASDAQ,475740697500.0,94.75,Lip-Bu Tan,208107200000.0
ORCL,Oracle Corporation,NYSE,471211376640.0,163.84,Michael D. Sicilia,554981170000.0
MA,Mastercard Incorporated,NYSE,464941999680.0,525.23,Michael Miebach,520513360000.0
BAC-PL,Bank of America Corporation,NYSE,455079962165.0,1227.25,Brian Thomas Moynihan,539128500000.0
COST,Costco Wholesale Corporation,NASDAQ,443062941510.0,998.67,Ron Vachris,412831930200.0
NFLX,"Netflix, Inc.",NASDAQ,387898896000.0,92.12,Theodore A. Sarandos,401960915960.0
